"creator","capacity","count","percentage","parking_facility_id","name","occupancy_id","created_at","updated_at"
"ue08618",6,1,17,"ad68b13d-3969-45c4-94b2-ea32bd4e8885","Schinznach Bad","19d93fe9-0835-4e27-a080-636b204eab12","2021-03-03 11:08:00+00","2021-03-03 11:08:00+00"
"ue30420",18,7,39,"efb9c29c-db15-4509-9e98-faf6caddf868","Lausen","2814473d-800b-4b2a-8867-3b86832ebaf8","2021-03-07 08:34:00+00","2021-03-07 08:34:00+00"
"ue30420",16,5,31,"7cfb64f4-bf63-42aa-beb9-16ad5fd217aa","Schönenwerd","708acce2-20ad-4e1a-9a74-e0ecba7c8e1f","2021-04-07 12:32:00+00","2021-04-07 12:32:00+00"
"e510884",37,2,5,"f2ba567f-37ad-4fbf-90dd-eaf3bc30ddbd","Ballwil","3e6d1e00-5ae0-4cd8-b81f-90e71e27cba9","2021-03-02 14:45:00+00","2021-03-02 14:45:00+00"
"e522023",42,42,100,"49abee66-9775-42a9-9c44-804abe2a2386","Bern Kiss+Rail","857c6909-b32e-42b0-a4a0-2701051ad2eb","2021-09-28 16:11:00+00","2021-09-28 16:11:00+00"
"e504730",28,14,50,"11aac094-c5e5-4250-b226-813201a822fa","Entlebuch","2b72c70a-5e2d-49ed-b2b7-f96374ea2e87","2021-09-29 10:40:00+00","2021-09-29 10:40:00+00"
"e540243",39,39,100,"b8af5973-68ad-4f04-8429-adac21d399a1","St. Gallen","e65f94eb-71ea-40fb-9f24-27a384b02f24","2021-10-05 14:52:00+00","2021-10-05 14:52:00+00"
"ue72360",119,52,44,"40df8420-50ab-4bcf-883b-ee020cf75ee1","Moutier","03d38b7b-f2a6-44ec-ad41-1fd576d3cad5","2021-10-06 09:01:00+00","2021-10-06 09:01:00+00"
"e504344",32,31,97,"7d38d0fa-5559-4083-9565-b4457a106478","Bern Bümpliz Süd","4428fc90-7ed3-4c55-a5e7-cd7572aa3813","2021-10-07 06:20:00+00","2021-10-07 06:20:00+00"
"e525784",88,32,36,"f8512f48-658e-4e9c-9556-bf5dc3344d6e","Rolle","1e46466e-7eef-4ebd-827b-709e7e202953","2021-10-08 07:52:00+00","2021-10-08 07:52:00+00"
