,12h,24h,7d,date
272,86.59813,85.81752,85.124954,2021-06-07 14:00:00
273,88.66467,87.26976,87.26976,2021-06-07 15:00:00
274,87.17746,85.83008,85.83008,2021-06-07 16:00:00
275,79.61669,76.92075,76.92075,2021-06-07 17:00:00
276,61.55995,61.05408,61.265224,2021-06-07 18:00:00
277,48.49366,47.585728,47.76044,2021-06-07 19:00:00
278,34.740257,35.60205,35.60205,2021-06-07 20:00:00
279,30.140154,29.00003,30.140154,2021-06-07 21:00:00
280,24.307589,21.649841,21.644663,2021-06-07 22:00:00
281,18.485277,17.365421,16.982985,2021-06-07 23:00:00
282,13.565991,13.721947,13.717171,2021-06-08 00:00:00
283,11.2382965,11.8421955,11.365535,2021-06-08 01:00:00
284,9.7716,9.764275,9.781195,2021-06-08 02:00:00
285,9.3215,9.33581,9.264781,2021-06-08 03:00:00
286,9.602444,9.924441,9.697327,2021-06-08 04:00:00
287,10.421484,10.133999,10.05399,2021-06-08 05:00:00
288,13.650486,11.930163,11.974629,2021-06-08 06:00:00
289,17.626999,15.755407,15.755407,2021-06-08 07:00:00
290,25.147007,25.19814,25.17523,2021-06-08 08:00:00
291,42.712273,42.712273,42.712273,2021-06-08 09:00:00
292,70.78663,64.04076,63.641273,2021-06-08 10:00:00
293,75.47881,76.810196,75.47881,2021-06-08 11:00:00
294,82.033844,79.35163,79.35163,2021-06-08 12:00:00
295,85.14504,80.45543,80.45543,2021-06-08 13:00:00
296,85.910934,81.12646,81.12646,2021-06-08 14:00:00
297,87.99524,87.67808,85.682014,2021-06-08 15:00:00
298,87.75762,86.79272,86.79272,2021-06-08 16:00:00
299,82.661835,83.08404,79.64045,2021-06-08 17:00:00
300,56.985172,64.40479,63.165882,2021-06-08 18:00:00
301,53.582073,52.33396,51.415104,2021-06-08 19:00:00
302,46.809525,50.889317,42.105103,2021-06-08 20:00:00
303,41.518528,48.701756,36.173656,2021-06-08 21:00:00
304,29.88368,29.707005,25.487385,2021-06-08 22:00:00
305,20.227392,19.0225,19.0225,2021-06-08 23:00:00
306,14.965569,17.996552,14.67854,2021-06-09 00:00:00
307,13.807542,13.512082,11.803852,2021-06-09 01:00:00
308,11.143006,11.047477,10.305785,2021-06-09 02:00:00
309,9.791349,9.692827,9.3300085,2021-06-09 03:00:00
310,9.939762,9.977647,9.871417,2021-06-09 04:00:00
311,9.9881735,10.129586,10.514767,2021-06-09 05:00:00
312,11.5292845,11.877607,12.701113,2021-06-09 06:00:00
313,15.515858,16.860346,17.12966,2021-06-09 07:00:00
314,24.647648,26.730541,26.965523,2021-06-09 08:00:00
315,41.534462,43.556458,46.46158,2021-06-09 09:00:00
316,67.76741,67.76741,70.92623,2021-06-09 10:00:00
317,82.15628,79.88569,83.633675,2021-06-09 11:00:00
318,84.905975,81.56807,84.47228,2021-06-09 12:00:00
319,79.53131,81.42726,81.27711,2021-06-09 13:00:00
320,84.8056,78.54993,82.54507,2021-06-09 14:00:00
321,87.598236,87.55596,87.57144,2021-06-09 15:00:00
322,86.877365,85.307365,86.28079,2021-06-09 16:00:00
323,77.1069,75.361435,79.832535,2021-06-09 17:00:00
324,60.71134,63.37898,65.04364,2021-06-09 18:00:00
325,51.72398,52.47065,51.95739,2021-06-09 19:00:00
326,42.381016,42.388687,43.125217,2021-06-09 20:00:00
327,36.300243,36.496803,40.018066,2021-06-09 21:00:00
328,39.913887,25.966948,29.955914,2021-06-09 22:00:00
329,26.589687,26.390387,20.331789,2021-06-09 23:00:00
330,17.269098,17.269098,15.1178055,2021-06-10 00:00:00
331,13.6305685,12.055657,13.01605,2021-06-10 01:00:00
332,10.97512,11.316758,11.015196,2021-06-10 02:00:00
333,10.08451,9.94677,9.939818,2021-06-10 03:00:00
334,10.307928,10.26927,10.376492,2021-06-10 04:00:00
335,10.726145,10.867382,10.728567,2021-06-10 05:00:00
336,12.686706,12.642254,12.594364,2021-06-10 06:00:00
337,15.383497,16.80794,16.926104,2021-06-10 07:00:00
338,24.398123,26.111588,26.046484,2021-06-10 08:00:00
339,40.270317,42.58159,41.01893,2021-06-10 09:00:00
340,63.33306,63.33306,61.78128,2021-06-10 10:00:00
341,77.29476,75.0635,75.07059,2021-06-10 11:00:00
342,81.70153,78.37969,79.69381,2021-06-10 12:00:00
343,79.95478,79.927826,80.36943,2021-06-10 13:00:00
344,80.8798,80.855896,80.86405,2021-06-10 14:00:00
345,87.537605,83.42673,85.083855,2021-06-10 15:00:00
346,86.58993,85.69438,85.69438,2021-06-10 16:00:00
347,80.83665,76.46233,76.46233,2021-06-10 17:00:00
348,63.126465,60.99803,61.51993,2021-06-10 18:00:00
349,49.339767,48.811916,48.578236,2021-06-10 19:00:00
350,41.607426,37.41233,37.07113,2021-06-10 20:00:00
351,35.963562,30.783579,30.783579,2021-06-10 21:00:00
352,25.754374,23.316822,23.316822,2021-06-10 22:00:00
353,23.920666,17.256077,17.256077,2021-06-10 23:00:00
354,15.967675,14.86356,14.201971,2021-06-11 00:00:00
355,12.074954,11.348842,11.348842,2021-06-11 01:00:00
356,10.215101,9.761505,9.765154,2021-06-11 02:00:00
357,9.129676,9.342445,9.348058,2021-06-11 03:00:00
358,9.472337,9.841271,9.843888,2021-06-11 04:00:00
359,9.592633,9.570187,10.338093,2021-06-11 05:00:00
360,11.335399,12.274004,11.95854,2021-06-11 06:00:00
361,15.92995,15.892395,15.877095,2021-06-11 07:00:00
