,12h,24h,7d,date
255,51.071682,53.832466,,2021-08-27 13:00:00
256,49.301064,52.910347,,2021-08-27 14:00:00
257,45.83507,45.63483,,2021-08-27 15:00:00
258,38.92886,37.158226,,2021-08-27 16:00:00
259,24.66644,28.181223,,2021-08-27 17:00:00
260,18.504105,22.84111,,2021-08-27 18:00:00
261,13.760115,18.601105,,2021-08-27 19:00:00
262,10.510861,10.300051,,2021-08-27 20:00:00
263,9.020507,8.517827,,2021-08-27 21:00:00
264,6.5887275,6.616737,,2021-08-27 22:00:00
265,6.554579,4.5457053,,2021-08-27 23:00:00
266,6.5524144,7.078669,,2021-08-28 00:00:00
267,6.968674,5.4921484,,2021-08-28 01:00:00
268,8.424113,6.9623227,,2021-08-28 02:00:00
269,8.496645,6.644512,,2021-08-28 03:00:00
270,6.6061325,6.0792966,,2021-08-28 04:00:00
271,9.954003,9.314099,,2021-08-28 05:00:00
272,14.408126,13.186487,,2021-08-28 06:00:00
273,18.374832,16.67561,,2021-08-28 07:00:00
274,21.026543,22.116158,,2021-08-28 08:00:00
275,22.931007,25.251902,,2021-08-28 09:00:00
276,28.076048,28.076048,,2021-08-28 10:00:00
277,29.300692,30.916039,,2021-08-28 11:00:00
278,32.079792,32.334812,,2021-08-28 12:00:00
279,31.53244,32.090553,,2021-08-28 13:00:00
280,28.780605,25.753637,,2021-08-28 14:00:00
281,24.95982,21.161251,,2021-08-28 15:00:00
282,17.596123,17.576887,,2021-08-28 16:00:00
283,16.570038,13.670225,,2021-08-28 17:00:00
284,12.271707,12.198407,,2021-08-28 18:00:00
285,9.78363,7.794973,,2021-08-28 19:00:00
286,8.606458,6.203463,,2021-08-28 20:00:00
287,7.3747435,5.802546,,2021-08-28 21:00:00
288,5.8060927,5.8451266,,2021-08-28 22:00:00
289,4.6021748,5.658237,,2021-08-28 23:00:00
290,5.160618,5.160618,,2021-08-29 00:00:00
291,6.0879645,6.4352145,,2021-08-29 01:00:00
292,8.518347,7.5280027,,2021-08-29 02:00:00
293,7.7078857,7.6919513,,2021-08-29 03:00:00
294,7.435854,5.7963285,,2021-08-29 04:00:00
295,7.4817924,6.945844,,2021-08-29 05:00:00
296,7.426675,7.3100247,,2021-08-29 06:00:00
297,7.5964656,7.992196,,2021-08-29 07:00:00
298,9.121009,10.486327,,2021-08-29 08:00:00
299,13.1320715,13.354567,,2021-08-29 09:00:00
300,14.102583,15.031477,,2021-08-29 10:00:00
301,15.150617,15.836896,,2021-08-29 11:00:00
302,13.073297,16.515596,,2021-08-29 12:00:00
303,11.894751,16.73121,,2021-08-29 13:00:00
304,12.468362,16.211597,,2021-08-29 14:00:00
305,9.615053,12.775709,,2021-08-29 15:00:00
